filepath=/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx,len=47
page_content='关于印发《青岛自贸片区促进融资租赁发展扶持办法》的通知' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='区各部委，区直各单位，驻区各单位，区直属企业：' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='为深化金融服务实体经济，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='推动金融与产业深度融合，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='吸引金融租赁公司、国内头部融资租赁公司、省内有影响的融资租赁公司集聚片区，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='打造具有自贸区特色的融资租赁产业集群，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='推动融资租赁业做大做强，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='引导行业合规经营、有序发展，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='制定《青岛自贸片区促进融资租赁发展扶持办法》，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='该办法已经管委研究同意，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='现予印发，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='请遵照执行。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
