filepath=/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx,len=33
page_content='关于进一步深化户籍制度改革的通知' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='各区、市人民政府，青岛西海岸新区管委，市政府各部门，市直各单位：' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='为进一步深化我市户籍制度改革，优化人口结构，引导人口有序流动、合理布局，促进城乡融合区域协调发展，推动经济社会高质量发展，现就有关事项通知如下。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='一、进一步扩大人才落户范围' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='符合下列条件之一的，本人及其近亲属可以依次在合法产权房屋、近亲属家庭户、单位集体户、人才集体户、社区集体户申请落户。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='1\ue010持山东惠才卡、青岛市高层次人才服务绿卡人员或者全国其他市（地）级及以上人才；' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='2\ue010具有国家承认的中专及以上学历人员以及技工院校、职业院校毕业生；' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='3\ue010具有专业技术职称或者技术技能等级的技术技能人员；' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='4\ue010组织人事主管部门批准调入（含录聘用）的党政机关、人民团体、事业单位、国有企业干部和职工。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='在青大中专院校、技工院校、职业院校在校学生，本人可以落入学校集体户；' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='其他大中专院校、技工院校、职业院校在校学生及国（境）外同等学历层次在校学生，本人可以落入各区（市）人才集体户。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
