2024-08-08 09:04:40 | INFO | controller | args: Namespace(host='0.0.0.0', port=7800, dispatch_method='shortest_queue', ssl=False)
2024-08-08 09:04:40 | ERROR | stderr | INFO:     Started server process [200]
2024-08-08 09:04:40 | ERROR | stderr | INFO:     Waiting for application startup.
2024-08-08 09:04:40 | ERROR | stderr | INFO:     Application startup complete.
2024-08-08 09:04:40 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:7800 (Press CTRL+C to quit)
2024-08-08 09:04:58 | INFO | stdout | INFO:     127.0.0.1:34158 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 09:05:08 | INFO | stdout | INFO:     127.0.0.1:39486 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 09:05:18 | INFO | stdout | INFO:     127.0.0.1:50778 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 09:05:28 | INFO | stdout | INFO:     127.0.0.1:43244 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 09:05:38 | INFO | stdout | INFO:     127.0.0.1:60004 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 09:05:48 | INFO | stdout | INFO:     127.0.0.1:40660 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 09:05:51 | INFO | controller | Register a new worker: http://0.0.0.0:7801
2024-08-08 09:05:51 | INFO | controller | Register done: http://0.0.0.0:7801, {'model_names': ['Qwen1.5-32B-Chat'], 'speed': 1, 'queue_length': 0}
2024-08-08 09:05:51 | INFO | stdout | INFO:     127.0.0.1:40674 - "POST /register_worker HTTP/1.1" 200 OK
2024-08-08 09:05:58 | INFO | stdout | INFO:     127.0.0.1:47206 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 09:06:36 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 09:06:36 | INFO | stdout | INFO:     127.0.0.1:45138 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 09:07:14 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [0.0], ret: http://0.0.0.0:7801
2024-08-08 09:07:14 | INFO | stdout | INFO:     127.0.0.1:36696 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:07:14 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [1.0], ret: http://0.0.0.0:7801
2024-08-08 09:07:14 | INFO | stdout | INFO:     127.0.0.1:36708 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:07:14 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [2.0], ret: http://0.0.0.0:7801
2024-08-08 09:07:14 | INFO | stdout | INFO:     127.0.0.1:36722 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:07:14 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [3.0], ret: http://0.0.0.0:7801
2024-08-08 09:07:14 | INFO | stdout | INFO:     127.0.0.1:36736 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:07:14 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [4.0], ret: http://0.0.0.0:7801
2024-08-08 09:07:14 | INFO | stdout | INFO:     127.0.0.1:36740 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:07:14 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [5.0], ret: http://0.0.0.0:7801
2024-08-08 09:07:14 | INFO | stdout | INFO:     127.0.0.1:36742 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:07:14 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [6.0], ret: http://0.0.0.0:7801
2024-08-08 09:07:14 | INFO | stdout | INFO:     127.0.0.1:36744 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:07:14 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [7.0], ret: http://0.0.0.0:7801
2024-08-08 09:07:14 | INFO | stdout | INFO:     127.0.0.1:36758 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:07:14 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [8.0], ret: http://0.0.0.0:7801
2024-08-08 09:07:14 | INFO | stdout | INFO:     127.0.0.1:36768 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:07:14 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [9.0], ret: http://0.0.0.0:7801
2024-08-08 09:07:14 | INFO | stdout | INFO:     127.0.0.1:36780 - "POST /get_worker_address HTTP/1.1" 200 OK
